Category,Subcategory,Service Name,Phone Number,Physical Address,Hours of operation,Description,Wheelchair access (y),Language Help (y),Web address,Email Address
Care,Family Care Services,Department of Human Services,541-686-7555,"1899 Willamette St., Eugene",M-F 8am-5pm,"State- and federally-funded services. Food benefits (SNAP), employment services, cash assistance (TANF), domestic violence services, child welfare services, health benefits (OHP), senior citizens services. Also, apply for free phones, search for jobs, bathrooms. Apply for services by paper or by computers provided.",y,y,,
Care,Family Care Services,Department of Human Services,541-726- 3525,"101 30th St., Springfield",M-F 7am-6pm,"State- and federally-funded services. Food benefits (SNAP), employment services, cash assistance (TANF), domestic violence services, child welfare services, health benefits (OHP), senior citizens services. Also, apply for free phones, search for jobs, bathrooms. Apply for services by paper or by computers provided.",y,y,,
Care,Family Care Services,Department of Human Services,541- 726-6644,1040 Harlow Rd.,M-F 8-5,"State- and federally-funded services. Food benefits (SNAP), employment services, cash assistance (TANF), domestic violence services, child welfare services, health benefits (OHP), senior citizens services. Also, apply for free phones, search for jobs, bathrooms. Apply for services by paper or by computers provided.",y,y,,
Care,Family Care Services,G-Street Oasis,541.214.0260,"1175 G St., Springfield",M-F 9-3,"Provides day shelter and other services for homeless families with children. Laundry, hygiene supplies, bathrooms, kitchen facilities and showers available. They also provide limited transitional housing and referrals for families. To obtain services one must be registered in the program, please call Gail at the phone above to register, or email gstreet@ccslc.org",y,,https://www.ccslc.org/g-street-oasis,gstreet@ccslc.org
Care,Family Care Services,First Place Family Center,541-342-7728,"1995 Amazon Parkway, Eugene OR 97405",7 days 8am-5pm,"Offers a day time facility for families with children, meals, mail service, laundry, computers, preschool, limited overnight accommodations, and referrals for jobs, housing and recovery.",,y,https://www.svdp.us/what-we-do/homeless-services/first-place-family-center/,
Care,Family Care Services,First Way of Eugene,541-687-8651,"1162 B St. #213 Springfield, Or 97477",TWTh 10-4,"Provides pregnancy tests, ultrasound, baby and toddler clothes, baby wipes, diapers, all without charge. Pregnant women can be signed up for insurance and receive referrals for health services.",,,https://www.1st-way.org/,
Care,Family Care Services,Lane County Prenatal Care Clinic,541-682-3550,"51 W 7th Ave #310, Eugene",T-F 8-5,"Provides pre-natal care and maternity case management, as well as post-partum support. Arrange for midwives to deliver at a hospital. Only accept OHP clients. Walk in available.",y,y,lanecounty.org/chc,
Care,Family Care Services,Parenting Now,541-484-5316,"86 Centennial Loop, Eugene, OR 97401",M-Th 9-4,Provides free parenting education and support to families with young children. Free car seats by arrangement.,,,https://parentingnow.org/,
Care,Family Care Services,Relief Nursery - Eugene,541-343-9706,"1720 W 25th Ave. Eugene, OR, 97405",M - Th 9 - 4; F 8:30 - 12:30,"A child-abuse-and-neglect prevention agency for high-risk families. Therapeutic early childhood services and comprehensive family support, including alcohol & drug recovery support services.",y,y,reliefnursery.org,
Care,Family Care Services,Relief Nursery - Springfield,541-485-0007,"850 S 42nd St. Springfield, OR, 97478",M - Th 9 - 4; F 8:30 - 12:30,"A child-abuse-and-neglect prevention agency for high-risk families. Therapeutic early childhood services and comprehensive family support, including alcohol & drug recovery support services.",y,y,reliefnursery.org,
Care,Family Care Services,Sacred Heart - Pregnancy and Parenting Education,541-222-7074,"3333 Riverbend Dr. Springfield, OR, 97477",M-F 8-5,"Provides pregnancy and parenting education programs. Classes and workshops include childbirth classes, breast-feeding classes and family birth center tours.",y,,www.peacehealth.org,
Care,Family Care Services,White Bird - Counseling Program,541-342-8255,"314 E 12th Ave, Eugene",M-F 8-5,"Provides individual and family counseling. This therapy is for adults wanting to clarify and explore issues in their lives and/or for more in-depth healing and growth. Also provides end-of-life counseling. Call for a free intake interview and review of counseling options. No walk in, please make an appointment.",y,,whitebirdclinic.org,
Care,Family Care Services,Shelter Care,541-689-7156,"499 W. 4th Avenue, Eugene",M-F 8:30-4:30,"Homeless prevention program. Shelter for families, the medically-fragile and others in crisis. Usual wait for shelter is 2-4 weeks",,,https://www.sheltercare.org/what-we-do/,
Care,Pet Care,,,,,,,,,
Care,Pet Care,Community Veterinary Center,541-636-3324,"470 Hwy 99, Eugene",TWTh 9-4,"Sliding scale clinic, by appointment only. Basic care includes: wellness checks, vaccines, blood work, euthanasia, dental treatments, prescriptions, diagnosis and treatments, radiology, sterile surgery, and spay/neuter",y,,http://www.communityvet.org/,
Care,Pet Care,Pro-Bone-O,"541-607-8089 (Message phone, we will return your call)",See description for location,See description for times,"Provides free clinics for the pets of homeless individuals. Vaccinations, flea and tick prevention, treatment of minor ailments, spay/neuter vouchers, worming, food and treats. The clinics are 9:30am-1:30pm on the 2nd and 4th Sundays from January through October and on the second Sunday in Nov and Dec. A lottery is held for the appointments available at 8:30am. At these times the clinic is held at Eugene Mission, 1542 W 1st Ave, Eugene.",,,http://proboneo.org/,
Care,Pet Care,SPOT (Stop Pet Overpopulation Today),541-607-4900,,,Gives vouchers to help cover costs for spaying or neutering dogs of low income individuals. Co-pays are based on level of need and all breeds are eligible. Preferred contact by website.,,,https://www.spotspayneuter.org/,
Education,Adult Education,,,,,,,,,
Education,Adult Education,Lane Community College Financial Aid,541-463-3400,"4000 East 30th Avenue Eugene, Building 1",MTTH 8:30-5; W10-5,Provides information and assistance obtaining grants or financial aid to attend college.,y,y,https://www.lanecc.edu/finaid/contact-us,
Education,Adult Education,Lane Community College GED Preparation,541-463-5214,"4000 E 30th Avenue, Eugene Building 11",M-Th 8:30-3:30; F 8:30-2,"Finish your basic education with a GED certificate, which will prepare you for college. Many tests and courses are low cost or free for some students. Free tuition. Scholarships and a grant for transportation available for those in the program. Spanish language GED program available.",y,y,https://www.lanecc.edu/abse/ged-preparation,
Food,Food Boxes/Pantries,,,,,,,,,
Food,Food Boxes/Pantries,Bethsaida Lutheran Church,541-688-9085,"4445 Royal Avenue, Eugene, OR 97402",2nd and 4th T 9:30-12,"Food pantry. Open the 2nd and 4th Tuesdays of the month from 9:30 am – 12:00 pm first come, first served.",,,,
Food,Food Boxes/Pantries,Catholic Community Services Eugene Center,541-345-3628 xt. 404,"1464 W 6th Ave, Eugene",M-F 9-4:30,"Food pantry is from 9am-12:45pm MWF. Rental assistance, utility assistance, housing referrals, prescription assistance, referrals to employment counseling are also available.",y,y,https://www.ccslc.org/food-clothing-and-emergency-help,
Food,Food Boxes/Pantries,Catholic Community Services Springfield Center,541-345-3628,"025 G St. Springfield, OR 97477",T-F 9-4:30,"Food pantry is open from 9am-12:45pm WFSa. A clothing closet, rental assistance, utility assistance, housing referrals, prescription assistance, referrals to employment counseling, SNAP enrollment assistance, are also available.",y,y,https://www.ccslc.org/food-clothing-and-emergency-help,
Food,Food Boxes/Pantries,Mannahouse-- Daily Bread,541-344-3380,"89780 North Game Farm Road Eugene OR, 97408",Th 2-6p,Emergency food assistance,y,,,
Food,Food Boxes/Pantries,Eugene Faith Center,541-686-9244,"410 West 13th Avenue Eugene OR, 97402",2nd and 4th Th 2-6pm,,y,y,http://eugenefaithcenter.org/,
Food,Food Boxes/Pantries,FISH/Trinity United Methodist Church,541-689-9750,"440 Maxwell Rd. Eugene, OR",M - F 10 - 2:30,"Provides emergency food, propane and prescription drug assistance to individuals and families. Operates a food cupboard and takes calls for food, prescription drug and propane assistance five days a week.",,,trinityumceugene.org/fish-food-pantry/,
Food,Food Boxes/Pantries,FOOD for Lane County,541-343-2822,"770 Bailey Hill Rd. Eugene, OR, 97402",M-F 9-4,Contact for a location to pick up food.,,y,foodforlanecounty.org,info@foodforlanecounty.org
Food,Food Boxes/Pantries,Looking Glass - New Roads Program,541-686-2688,"941 W 7th, Eugene",M-F 8:30-3:30,"Day shelter and food for youth 16-21 only. Food, clothing, showers, and assistance with employment, transitional and permanent housing. Meals: Breakfast - 8:30 - 9:30 am Lunch - 12:00 - 1:00 pm Snacks - 3-3:30 pm",,,https://www.lookingglass.us/new-roads,
Food,Food Boxes/Pantries,Our Redeemer Lutheran Church Food Pantry,,"255 Maxwell Road Eugene OR, 97404",2nd and 4th Sat 10-12,"Food pantry is open every 2nd and 4th Saturday of each month, 10am-Noon",y,,,
Food,Food Boxes/Pantries,Salvation Army,541-343-3328,"640 W. 7th Ave Eugene, OR, 97402","M-Th 8:30-3:25 Closed for lunch 11:55-1pm, T closed 11-2, F 8:30-12:25","ood boxes available. A snack bag is available to those who do not have address or ID. Utility assistance is only for Blachely Lane & Lane Electric, if referred to by the utility. Valid ID required for services.",y,y,y,eugene.salvationarmy.org
Food,Food Boxes/Pantries,St. Vincent de Paul Social Services,541-689-6747,"456 Highway 99 N, Eugene",TThF 10am-2pm,"Social Services provides one-time rental assistance, a food pantry, clothing, vouchers for household goods, propane, prescription assistance, and Second Chance Renters Rehabilitation.",,y,,https://www.svdp.us/get-help/im-hungry/
Food,Food Boxes/Pantries,The Shepherd’s Table at St. John’s,541-746-3322,"2537 Game Farm Rd, Springfield, OR 97477",1st and 3rd Sat 9-12,Open on the 1st and 3rd Saturday of the month from 9:00am to 12:00pm,,,,
Food,Food Boxes/Pantries,Springfield Adventist Community Center,541-746-8263,"1546 N 12th St., Springfield",1st and 3rd T 10am-1pm; 2nd and 4th T 4-7pm,Clothing and food are available for individuals once a month. A free meal is available Fridays from 9-12.,,,,
Food,Food Boxes/Pantries,Thurston Food Pantry inside Waypoint Community Church,,"332 58th Street, Springfield OR",3rd Sa 9am-12pm,Food pantry is open the 3rd Saturday of the month from 9am-12pm,,,,
Food,Food Boxes/Pantries,Department of Human Services,541-686-7722,"2101 W. 11 th Ave., Eugene",M-F 7am-6pm,"State- and federally-funded services. Food benefits (SNAP), employment services, cash assistance (TANF), domestic violence services, child welfare services, health benefits (OHP), senior citizens services. Also, apply for free phones, search for jobs, bathrooms. Apply for services by paper or by computers provided.",y,y,,
Food,Food Boxes/Pantries,Department of Human Services,541-686-7555,"1899 Willamette St., Eugene",M-F 8am-5pm,"State- and federally-funded services. Food benefits (SNAP), employment services, cash assistance (TANF), domestic violence services, child welfare services, health benefits (OHP), senior citizens services. Also, apply for free phones, search for jobs, bathrooms. Apply for services by paper or by computers provided.",y,y,,
Food,Food Boxes/Pantries,Department of Human Services,541-726- 3525,"101 30th St., Springfield",M-F 7am-6pm,"State- and federally-funded services. Food benefits (SNAP), employment services, cash assistance (TANF), domestic violence services, child welfare services, health benefits (OHP), senior citizens services. Also, apply for free phones, search for jobs, bathrooms. Apply for services by paper or by computers provided.",y,y,,
Food,Food Boxes/Pantries,Produce Plus DHS Springfield ,,"101 30th Street, Springfield",M AM,"Produce Plus program provides brings fresh fruits and vegetables to households in Lane County living at or below 200% of the Federal Poverty Level, with no program enrollment. Produce is dropped off Monday mornings.",,,,
Food,Food Boxes/Pantries,Produce Plus DHS McKenzie Center ,,"2885 Chad Drive, Eugene",M AM,"Produce Plus program provides brings fresh fruits and vegetables to households in Lane County living at or below 200% of the Federal Poverty Level, with no program enrollment. Produce is dropped off Monday mornings.",,,,
Food,Food Boxes/Pantries,Produce Plus DHS West Eugene ,,"2101 W. 11th Avenue, Eugene",M AM,"Produce Plus program provides brings fresh fruits and vegetables to households in Lane County living at or below 200% of the Federal Poverty Level, with no program enrollment. Produce is dropped off Monday mornings.",,,,
Food,Food Boxes/Pantries,Produce Plus- Bethel Farm ,,"1200 N. Terry, Eugene (behind Prairie Mountain School)",T 12-4pm,"Produce Plus program provides brings fresh fruits and vegetables to households in Lane County living at or below 200% of the Federal Poverty Level, with no program enrollment. During the school year (September-June), every Tuesday 12-4pm
",,,,
Food,Food Boxes/Pantries,Produce Plus- Bethel’s Cascade Middle School ,,"1525 Echo Hollow Road, Eugene",M @ 12; or T @ 12,"Produce Plus program provides brings fresh fruits and vegetables to households in Lane County living at or below 200% of the Federal Poverty Level, with no program enrollment. During the school year (September-June), every Monday, starting at 12 pm. During the summer months (June-September), every Tuesday, starting at 12 pm.",,,,
Food,Food Boxes/Pantries,Produce Plus- Unitarian Universalist Church ,,"1685 W. 13th Avenue, Eugene",1st and 3rd T 3-6pm,"Produce Plus program provides brings fresh fruits and vegetables to households in Lane County living at or below 200% of the Federal Poverty Level, with no program enrollment. The first and third Tuesday of each month from 3 to 6 pm.",,,,
Food,Meals,,,,,,,,,
Food,Meals,Burrito Brigade,,,Sa/Su 1:45-3pm,"Vegetarian burritos are distributed Saturdays and Sundays 1:45-3pm at various locations including Occupy Medical (1717 Centennial Blvd. Suites 4 & 7 in Springfield, Oregon) and in front of the White Bird Front Rooms (341 E 12th Ave, Eugene).",,,https://burritobrigade.org/volunteer/,
Food,Meals,Eugene Seventh Day Adventist Church,541-683-4169,"1275 Polk St, Eugene, OR 97402",2nd and 4th Sa 1pm,"Free meal, 2nd, 3rd and 4th Saturdays of each month, 1pm.",y,,https://eugeneor.adventistchurch.org/,
Food,Meals,FOOD For Lane County - The Dining Room,541-284-1340,270 W. 8th (8th & Lincoln),M-Th 12-2:45pm,Free meal served restaurant-style for first 250 guests. Must be 18 or older unless with legal guardian.,,,https://foodforlanecounty.org/get-help/foodboxes-meals/fflcs-dining-room/,
Food,Meals,Ebbert United Methodist Church,541-746-3513,"532 C Street, Springfield, OR, 97477",MWTH 8am; W 4:30; Sa 4pm,Meals served. Breakfast on Mondays from 8:00 am to 11:00 am. Sack lunches on Tuesdays and Thursdays from 8:00 am to 11:15 pm. Community meal on Wednesdays at 4:30-7pm. Saturday dinner 4pm provided by Hope House. Clothing closet open Monday and Wednesday at meal times.,,,https://ebbertumc.org/,
Food,Meals,Eugene Catholic Worker,541-345-8459,"754 Washington St, Eugene",W-Sa 8:30 am -9:30 am,"Food and emergency blankets available at the address during the winter. At First and Washington, breakfast served Wednesday-Saturday from 8:30 am -9:30 am.",y,,https://eugenecatholicworker.org/,
Food,Meals,Eugene Mission,541-344-3251,"1542 W.1st, Eugene",See description,"Meals for women and families: 6:15am, 11:15am, 5:15pm; meals for adult men and others: 7am, 12pm, 6pm. Eugene Mission also provides overnight shelter, day shelter, showers, clothing, hygiene products, haircuts and more.",y,,https://eugenemission.org/,
Food,Meals,First Christian Church - Sunday Breakfast,541-344-1425,"1166 Oak St. Eugene, OR, 97401",Su 7:45-9am,"Breakfast served in the basement every Sunday,7:45am - 9:15am. No pets please. Enter through the back of the church on the west side. Sack lunches if available.",y,y,heartofeugene.org,
Food,Meals,First Place Family Cente,541-342-7728,"1995 Amazon Parkway, Eugene OR 97405",7 days 8am-5pm,"Offers a day time facility for families with children, meals, mail service, laundry, computers, preschool, limited overnight accommodations, and referrals for jobs, housing and recovery.",y,y,https://www.svdp.us/what-we-do/homeless-services/first-place-family-center/,
Food,Meals,Food Not Bombs,,Park Blocks,F 4pm,"Nutritious, vegan meal served Fridays at 4 pm in the Park Blocks across from the courthouse.",,,https://www.facebook.com/foodnotbombseugene/,
Food,Meals,Hosea Youth Services Project,541-344-5583,"834 Monroe Street, Eugene, OR, 97402",MWF 4:30-6:30pm,"Drop-in day access center for homeless and displaced youth 16-24 including job search, meals, showers, laundry, clothing, and personal hygiene items.",y,,http://www.hoseayouth.org,
Food,Meals,Looking Glass - New Roads Program,541-686-2688,"941 W 7th, Eugene",M-F 8:30-3:30,"Day shelter and food for youth 16-21 only. Meals: Breakfast - 8:30 - 9:30 am Lunch - 12:00 - 1:00 pm Snacks - 3-3:30 pm Food, clothing, showers, and assistance with employment, transitional and permanent housing.",,,https://www.lookingglass.us/,
Food,Meals,Senior Meals - Eugene - Olive Plaza,541-342-3515,"1135 Olive St. Eugene, OR, 97402",M-F 10:30-12pm,Nourishing meals and companionship are served for seniors over 60. Closed third Friday of each month.,y,y,laneseniormeals.org,
Food,Meals,Share Fair,,Check website,Final T of month 3-6:30pm,"Every month Share Fair gives away free items they have collected from the community. They offer a meal, clothes, household supplies, services and face-to-face contacts with local services. Look at the website for the location and date this month.",,,https://neighborhoodanarchists.org/sharefair/,sharefair@neighborhoodanarchists.org
Food,Meals,Springfield Adventist Community Center,541-746-8263,"1546 N 12th St., Springfield",1st and 3rd T 10am-1pm; 2nd and 4th T 4-7pm,Food pantry hours are 1st and 3rd Tuesday 10am-1pm; 2nd and 4th Tuesday 4-7pm. A free meal is available Fridays from 9-12. Clothing and food are available for individuals once a month.,,,,
Food,Meals,Summer Food Program by Food for Lane County,541-343-2822,Check website,Summers M-F,Meals M-F for children 18 and under every summer from late June to late August. Variety of locations throughout Lane County and it is different every summer. Please call or check the website for the schedule.,,,https://foodforlanecounty.org/get-help/more-food-programs/programs-for-children/#summer,
Food,Meals,St. John Maximovitch Church,541-484- 5810,"304 Blair Blvd, Eugene",1st Sa 9-11am,Breakfast served the 1st Saturday of every month 9-11 am.,,,http://stjohnthewonderworker.org/our-ministries/first-saturday-neighborhood-breakfast/,
Food,Meals,St. Mary's Episcopal Breakfast,541-343-9253,"1300 Pearl St. Eugene, OR",2nd and 4th Sa 9:30am,Breakfast served 2nd and 4th Saturday of each month at 9:30am.,,,http://www.saint-marys.org/,
Food,Meals,St. Vincent de Paul - Eugene Service Station,541-461-8688,"450 Highway 99 North Eugene, OR 97402",7 days 8am-5pm ,"Meals are served daily at 8:30am and 12pm. They also provide day shelter, bathrooms, meals, laundry services, showers, telephones, mail services, and Dusk to Dawn shelter. They also provide vouchers for St. Vincent’s thrift stores, which can be used for clothes, bedding, and other items.",y,,https://www.svdp.us/what-we-do/homeless-services/eugene-service-station/,
Health,Addiction Recovery Services,,,,,,,,,
Health,Addiction Recovery Services,Alcoholics Anonymous Meetings (AA),541-342-4113 ,,24/7,Helps one find an AA meeting near them.,,,eviaa.org,
Health,Addiction Recovery Services,NA (Narcotics Anonymous) Meetings,541-729-0080 ,,24/7,Helps one find an NA meeting near them.,,,http://lanecountyarea-na.org/,
Health,Addiction Recovery Services,ODI Clinic: Adolescent & Family Services,541-284-7560,10 Shelton McMurphey Blvd. (4th and Pearl),,Provides no-cost treatment for youth addiction (12-18) that includes cognitive behavioral approaches with active parent involvement. Families wishing to see a counselor at the OSLC location should call and ask for an appointment with Adolescent & Family Services.,y,,https://www.odiclinic.org/afs/,
Health,Addiction Recovery Services,ODI Clinic: Centro Latino Americano,541-687-2667,944 W. 5th Ave Eugene,,"Provides treatment for youth addiction that includes cognitive behavioral and behavioral approaches with active parent involvement. Provides for the local Latino population social services, alcohol and addiction treatment, community health care, translation services for youth and adults.",y,y,https://centrolatinoamericano.org/,
Health,Addiction Recovery Services,Buckley Center,541-762-4575,"605 W 4th, Eugene",24/7,"The first step toward becoming sober. Sobering and medical detox on site. Walk in, call or get transportation from CAHOOTS.",y,y,https://wfts.org/sobering.htm,
Health,Addiction Recovery Services,Center for Family Development Outpatient Substance Use Recovery,541-342-8437,"1258 High Street, Eugene, OR 97401",M-F 8-5:30,"The services provided at CFD include: individual and group therapy, family therapy, peer support, urine analysis, and collaboration with referring agencies. 4 different locations, please call to sign in.",y,,http://www.c-f-d.org/,
Health,Addiction Recovery Services,Co-Dependents Anonymous (CoDA),541-341-1657 or 541-505-2956,"341 E 12th Ave Eugene, OR 97401",Sa 12-1pm,"A 12-step recovery program from co-dependence. The only requirement for membership is a desire for healthy and loving relationships. Local meeting times and places are available by phone, or by visiting the web site.",,,http://coda.org/,
Health,Addiction Recovery Services,Emergence Addiction and Behavior Therapies Counseling Program,541-741-7107,"2149 Centennial Plaza, Ste. 4 Eugene, OR, 97401",,"Provides gambling, substance abuse, addiction and mental health treatment. Support groups, and outpatient care. Specializes in DBT (Dialectical Behavior Therapy). OHP accepted. Call for appointment, no walk in.",y,,http://4emergence.com/,
Health,Addiction Recovery Services,Lane County Methadone Treatment Program,541-682-4464,"151 W 7th Ave., Rm. 163 Eugene",M-F 6am-10am; Sa/Su 7am-10am,Provides outpatient chemical dependency treatment for adults with opiate addictions.,y,y,https://lanecounty.org/government/county_departments/health_and_human_services/behavioral_health/methadone_treatment_program,
Health,Addiction Recovery Services,Laurel Hill Center - Psychiatric Rehabilitation Services,541-485-6340,"2145 Centennial Plaza Eugene, OR, 97401",M-F 8-5,"Adult psychiatric rehabilitation center with housing, employment, outreach and wellness programs. Must have OHP.",y,y,,
Health,Addiction Recovery Services,Nar-Anon Family Eugene-Springfield Group,1-800-477-6291,,M-Th 9-4; F 9-3,Support group meetings for family members and friends affected by a loved one’s drug or alcohol abuse. Call for meeting times and places. No dues or fees.,,,www.nar-anon.org,
Health,Addiction Recovery Services,Serenity Lane,541-687-1110,"PO Box 8549, Coburg, OR 97408",M-Su 8-5,"Detox and treatment center for alcohol and other drug addictions with inpatient / residential and outpatient services to adults 18 years and older. OHP accepted for detox and outpatient services only. Facilities in Coburg and Eugene, please call.",y,y,https://serenitylane.org/,
Health,Addiction Recovery Services,White Bird - Chrysalis Behavioral Health Outpatient Services,541-683-1641,"350 E 11th Ave. Eugene, OR, 97401",M-Th 9-6pm (Closed Th 11:30-2:30),"Services for substance abuse and mental health care through individual and group counseling. Also, an opiate treatment program. Also provides DUII education and rehabilitation.",y,,http://whitebirdclinic.org,
Health,Addiction Recovery Services,Willamette Family Inc. - Rapid Access Center,541-762-4300,"195 W.12th, Eugene, OR (2nd floor)","M-Th 8-5, F 8-4:30","Same day treatment services for those in crisis with mental health issues and alcohol or drug abuse. After intake, there are immediate services, including transportation to sobering or detox. Transitional housing is available for clients only. Walk in or call.",y,y,https://wfts.org/rac.htm,
Health,Addiction Recovery Services,"Celebrate Recovery-- Awakening Church, Eugene",458-210-1737,"757 W Broadway, Eugene",Tu 7pm,Faith-based 12-step recovery support ,,,https://www.celebraterecovery.com,
Health,Addiction Recovery Services,Celebrate Recovery- First Church of the Nazarene,458-210-1737,"830 Madison St, Eugene.",Tu 7pm,Faith-based 12-step recovery support ,,,https://www.celebraterecovery.com,
Health,Addiction Recovery Services,Celebrate Recovery- Crossfire Outreach International,458-210-1737,"242 28th St., Springfield",Th 7pm,Faith-based 12-step recovery support ,,,https://www.celebraterecovery.com,
Health,Addiction Recovery Services,Celebrate Recovery -Echo Hollow Crossfire Church,458-210-1737,"1310 Echo Hollow Rd., Eugene",F 7pm,Faith-based 12-step recovery support ,,,https://www.celebraterecovery.com,
Health,Addiction Recovery Services,Celebrate Recovery- Dayspring Fellowship,458-210-1737,"1580 River Rd., Eugene",Th 6:15pm,Faith-based 12-step recovery support ,,,https://www.celebraterecovery.com,
Health,Counseling & Mental Health,,,,,,,,,
Health,Counseling & Mental Health,CAHOOTS -- Eugene only,541-682-5111,,,"Provides on site care for mental health or substance abuse emergencies, conflict resolution/mediation, transport to other agencies, deals with housing crises and first aid. Dispatched by police non-emergency line.",,,,
Health,Counseling & Mental Health,CAHOOTS-- Springfield only,541-726-3714,,,"Provides on site care for mental health or substance abuse emergencies, conflict resolution/mediation, transport to other agencies, deals with housing crises and first aid. Dispatched by police non-emergency line.",,,,
Health,Counseling & Mental Health,Center for Community Counseling,541-344-0620,"1465 Coburg Rd., Eugene",M-Th 9am-3pm,Mental health services for low income adults. Classes and group sessions on managing emotions and parenting and long-term counseling. Sliding scale. No OHP.,y,,,
Health,Counseling & Mental Health,Center for Family Development,541-342-8437,"261 E 12th Ave., 1234 High St., and 1501 Pearl St. Eugene, OR, 97401",M-F 8AM - 5:30PM,"Outpatient mental health programs for children, adolescents, and adults. Specializations include: child abuse, sexual behavior, depression, ADHD, anxiety, delinquent behavior, and group therapy. OHP accepted.",y,,http://c-f-d.org/,
Health,Counseling & Mental Health,Early Assessment and Support Alliance (EASA),458-205-7070,"1200 Hilyard St., Ste. 570 Eugene, OR, 97401",MTTh 8:30am-6pm; W 9-6; F 8-5,"The First Episode Program helps people ages 15-25 who have recently experienced their first psychotic break. Services provided include: assessment, counseling, peer support, vocational education, job search assistance, medication management and case management.",y,,www.easacommunity.org,
Health,Counseling & Mental Health,Emergence Addiction and Behavior Therapies Counseling Program,541-741-7107,"2149 Centennial Plaza, Ste. 4 Eugene, OR, 97401",,"Provides gambling, substance abuse, addiction and mental health treatment. Support groups, and outpatient care. Specializes in DBT (Dialectical Behavior Therapy). OHP accepted. Call for appointment, no walk in.",y,,http://4emergence.com/,
Health,Counseling & Mental Health,Laurel Hill Center - Psychiatric Rehabilitation Services,541-485-6340,145 Centennial Plaza Eugene,M-F 8-5,"Adult psychiatric rehabilitation center with housing, employment, outreach and wellness programs. Must have OHP.",y,y,laurel.org,
Health,Counseling & Mental Health,Looking Glass Crisis Response Line,1-888-989-9990,,24/7,24 hour crisis prevention helpline for families with children or runaways for ages 17 and under,,,,
Health,Counseling & Mental Health,Looking Glass - Counseling Program,541-484-4428,"260 E 11th Ave. Eugene, OR, 97401","M - Th 8 - 6, F 8 - 5","Outpatient mental health and substance abuse treatment for ages 13-21. Individual, family and group therapy for children, adolescents, adults, and their families. Assistance in filling out applications and resumes.",y,y,lookingglass.us,
Health,Counseling & Mental Health,National Alliance on Mental Illness Lane County (NAMI),541-343-7688,"2411 Martin Luther King Jr. Blvd., Ste. 246 Eugene",M - Th 10 - 2,"Provides information, education, support and advocacy for the mentally ill and their families. Provides referrals for a variety of services for the mentally ill. Services are free.",y,y,namilane.org,
Health,Counseling & Mental Health,National Suicide Prevention Lifeline,1-800-273-8255,,24/7,Free and confidential counseling for those who are in a suicide crisis.,,,https://suicidepreventionlifeline.org/,
Health,Counseling & Mental Health,Northwest Christian University - Counseling Center,541-349-7471,"755 E 11th Ave Eugene, OR, 97401",M - Th 8 AM – 7 PM;  F 8 AM – 5 PM,Graduates in the Community Counseling Program provide individual counseling for a low cost. Free for students. Call for an appointment.,,y,nwcu.edu/about/counseling-center/,
Health,Counseling & Mental Health,SASS-- Sexual Assault Support Services,541-343-7277,"591 W 19th Ave, Eugene","T, W, Th 9-4, drop in center hours",Counseling and support services for those who are sexually assaulted. Services free of charge.,y,,http://sass-lane.org/,
Health,Counseling & Mental Health,Veterans Crisis Hotline,"800-273-8255, press 1",,24/7,"Support line for all veterans, service members, National Guard members and their family.",,,,
Health,Counseling & Mental Health,White Bird 24/7 Crisis Services,"541-687-4000, 1-800-422-7558","990 W 7th Ave, Eugene",,"Crisis intervention, mental health referral and transportation assistance for mental health needs in Eugene or Springfield without homes.",,,https://whitebirdclinic.org/,
Health,Counseling & Mental Health,White Bird - Counseling Program,541-342-8255,"314 E 12th Ave, Eugene",M-F 8-5,"Provides individual and family counseling. This therapy is for adults wanting to clarify and explore issues in their lives and/or for more in-depth healing and growth. Also provides end-of-life counseling. Call for a free intake interview and review of counseling options. No walk in, please make an appointment.",y,,whitebirdclinic.org,
Health,Counseling & Mental Health,White Bird - Chrysalis Behavioral Health Outpatient Services,541-683-1641,"350 E 11th Ave. Eugene, OR, 97401",M-Th 9-6pm (Closed Th 11:30-2:30),"Services for substance abuse and mental health care through individual and group counseling. Also, an opiate treatment program. Also provides DUII education and rehabilitation.",y,,http://whitebirdclinic.org,
Health,Counseling & Mental Health,Willamette Family Inc. - Rapid Access Center,541-762-4300,"195 W.12th, Eugene, OR (2nd floor)","M-Th 8-5, F 8-4:30","Same day treatment services for those in crisis with mental health issues and alcohol or drug abuse. After intake, there are immediate services, including transportation to sobering or detox. Transitional housing is available for clients only. Walk in or call.",y,y,https://wfts.org/rac.htm,
Health,Counseling & Mental Health,Womenspace - Domestic Violence Advocacy Center,541-485-8232,"1577 Pearl St., 2nd floor, Eugene, OR, 97401",M-F 9am-4:30pm,"Emergency and support services for domestic violence survivors in intimate partner relationships. This includes emergency shelter, legal advocacy, transportation, safety planning, case management, and children and youth services. All services free of charge.",y,y,womenspaceinc.org,
Health,Dental,,,,,,,,,
Health,Dental,Lane Community College Dental Clinic,541-463-5206,"2460 Willamette St. Eugene, OR, 97401",M-F 8-4:30 (Closed Fr during summer),"Services include root canals and crowns, teeth cleaning, x-rays, and dentures. New patients call for an evaluation. No walk-in or immediate appointments available.",y,y,lanecc.edu/dentalclinic,
